Date,NINGDE_Close,BYD_Close
2020-01-02,45.92,13.21
2020-01-03,47.05,13.17
2020-01-06,46.8,13.25
2020-01-07,46.47,13.17
2020-01-08,47.08,12.92
2020-01-09,50.08,13.04
2020-01-10,49.14,12.8
2020-01-13,51.13,14.36
2020-01-14,50.47,14.97
2020-01-15,50.25,14.93
2020-01-16,50.86,15.19
2020-01-17,50.12,16.47
2020-01-20,54.63,16.74
2020-01-21,53.77,16.06
2020-01-22,60.53,16.91
2020-01-23,58.73,17.1
2020-02-03,61.39,15.11
2020-02-04,68.91,15.94
2020-02-05,77.18,17.43
2020-02-06,80.57,17.41
2020-02-07,75.19,16.46
2020-02-10,78.0,17.47
2020-02-11,74.19,16.84
2020-02-12,74.88,16.89
2020-02-13,73.05,16.34
2020-02-14,69.47,16.12
2020-02-17,71.8,16.65
2020-02-18,73.2,16.98
2020-02-19,71.3,17.79
2020-02-20,75.08,19.86
2020-02-21,75.02,19.66
2020-02-24,71.97,19.22
2020-02-25,76.11,20.77
2020-02-26,71.11,21.06
2020-02-27,69.23,20.51
2020-02-28,61.56,18.95
2020-03-02,63.96,19.44
2020-03-03,67.18,19.78
2020-03-04,66.02,19.35
2020-03-05,66.87,19.43
2020-03-06,65.92,18.94
2020-03-09,60.33,16.97
2020-03-10,64.26,17.21
2020-03-11,64.4,16.74
2020-03-12,60.75,16.17
2020-03-13,59.58,15.71
2020-03-16,52.33,15.12
2020-03-17,51.72,14.84
2020-03-18,51.38,14.52
2020-03-19,50.1,14.28
2020-03-20,50.56,14.66
2020-03-23,45.9,13.21
2020-03-24,48.17,13.73
2020-03-25,53.41,14.57
2020-03-26,52.65,15.25
2020-03-27,52.14,15.42
2020-03-30,52.47,15.9
2020-03-31,53.07,17.15
2020-04-01,53.08,16.2
2020-04-02,54.86,16.02
2020-04-03,53.41,15.49
2020-04-07,55.47,15.93
2020-04-08,54.52,15.6
2020-04-09,52.97,15.71
2020-04-10,52.0,15.35
2020-04-13,49.91,15.76
2020-04-14,56.28,16.46
2020-04-15,57.3,17.2
2020-04-16,60.05,17.16
2020-04-17,62.27,16.76
2020-04-20,60.92,16.78
2020-04-21,58.7,16.95
2020-04-22,58.88,16.97
2020-04-23,58.36,16.57
2020-04-24,59.35,16.73
2020-04-27,60.58,16.15
2020-04-28,63.02,16.15
2020-04-29,63.26,16.49
2020-04-30,66.4,17.14
2020-05-06,67.18,17.88
2020-05-07,65.75,17.19
2020-05-08,66.23,17.08
2020-05-11,62.65,16.78
2020-05-12,63.41,16.87
2020-05-13,63.0,16.82
2020-05-14,61.52,16.39
2020-05-15,67.01,16.48
2020-05-18,64.97,16.22
2020-05-19,65.78,16.56
2020-05-20,69.13,16.83
2020-05-21,68.11,16.21
2020-05-22,65.53,15.83
2020-05-25,66.36,16.0
2020-05-26,69.54,16.59
2020-05-27,70.36,16.26
2020-05-28,68.32,16.32
2020-05-29,67.04,16.29
2020-06-01,70.05,16.93
2020-06-02,69.22,17.49
2020-06-03,68.69,17.13
2020-06-04,69.65,17.19
2020-06-05,70.31,18.22
2020-06-08,70.42,18.09
2020-06-09,71.85,17.82
2020-06-10,73.36,17.51
2020-06-11,77.41,18.1
2020-06-12,74.81,17.65
2020-06-15,73.92,17.99
2020-06-16,75.2,18.52
2020-06-17,73.98,18.53
2020-06-18,74.62,19.4
2020-06-19,78.48,19.49
2020-06-22,77.98,19.82
2020-06-23,80.14,20.83
2020-06-24,81.59,21.06
2020-06-29,81.33,20.69
2020-06-30,83.18,21.09
2020-07-01,80.42,21.31
2020-07-02,79.2,21.2
2020-07-03,79.42,23.61
2020-07-06,85.09,24.12
2020-07-07,94.97,24.82
2020-07-08,96.07,24.74
2020-07-09,100.21,25.31
2020-07-10,99.59,26.82
2020-07-13,110.82,29.79
2020-07-14,106.28,29.34
2020-07-15,101.33,28.66
2020-07-16,95.63,25.51
2020-07-17,95.03,24.35
2020-07-20,100.37,26.21
2020-07-21,101.31,26.52
2020-07-22,101.81,26.22
2020-07-23,104.92,26.82
2020-07-24,96.69,24.82
2020-07-27,92.59,25.0
2020-07-28,96.05,25.13
2020-07-29,99.75,26.13
2020-07-30,100.4,25.49
2020-07-31,104.18,25.62
2020-08-03,106.09,25.88
2020-08-04,103.36,26.82
2020-08-05,103.17,26.54
2020-08-06,103.81,26.73
2020-08-07,99.81,25.62
2020-08-10,97.8,24.48
2020-08-11,96.55,24.16
2020-08-12,95.05,24.48
2020-08-13,95.2,24.42
2020-08-14,97.63,24.47
2020-08-17,95.55,24.8
2020-08-18,97.02,24.57
2020-08-19,91.97,23.73
2020-08-20,90.99,23.36
2020-08-21,93.11,23.7
2020-08-24,98.54,24.32
2020-08-25,97.38,24.26
2020-08-26,94.31,24.98
2020-08-27,100.17,25.65
2020-08-28,102.03,25.64
2020-08-31,100.95,25.51
2020-09-01,105.34,28.34
2020-09-02,103.71,28.61
2020-09-03,102.92,28.04
2020-09-04,99.79,27.18
2020-09-07,89.87,28.76
2020-09-08,90.15,27.51
2020-09-09,88.71,25.84
2020-09-10,89.07,26.21
2020-09-11,90.37,27.58
2020-09-14,93.41,28.01
2020-09-15,94.48,30.94
2020-09-16,93.12,32.31
2020-09-17,96.53,35.82
2020-09-18,96.33,35.68
2020-09-21,96.27,32.43
2020-09-22,97.7,32.77
2020-09-23,95.76,33.98
2020-09-24,92.32,32.64
2020-09-25,92.7,32.21
2020-09-28,93.48,32.64
2020-09-29,100.2,33.14
2020-09-30,102.53,35.92
2020-10-09,111.24,37.29
2020-10-12,116.75,40.01
2020-10-13,117.24,40.27
2020-10-14,118.15,40.68
2020-10-15,118.87,41.03
2020-10-16,113.03,39.78
2020-10-19,113.76,39.87
2020-10-20,120.53,43.84
2020-10-21,115.38,43.01
2020-10-22,115.13,45.11
2020-10-23,111.31,43.4
2020-10-26,115.84,43.83
2020-10-27,118.1,43.94
2020-10-28,119.79,47.71
2020-10-29,119.65,49.97
2020-10-30,123.63,50.45
2020-11-02,130.83,53.17
2020-11-03,128.55,51.87
2020-11-04,128.28,53.19
2020-11-05,135.48,58.79
2020-11-06,132.7,60.66
2020-11-09,134.33,60.83
2020-11-10,134.05,58.04
2020-11-11,125.67,51.96
2020-11-12,127.56,53.62
2020-11-13,126.98,55.81
2020-11-16,127.92,53.85
2020-11-17,125.58,52.84
2020-11-18,119.92,52.84
2020-11-19,120.81,51.05
2020-11-20,126.36,55.86
2020-11-23,126.87,58.58
2020-11-24,127.81,58.57
2020-11-25,123.1,58.35
2020-11-26,122.61,55.78
2020-11-27,120.76,55.21
2020-11-30,121.2,54.56
2020-12-01,123.07,56.11
2020-12-02,121.7,53.76
2020-12-03,122.97,54.21
2020-12-04,125.05,54.46
2020-12-07,131.57,55.61
2020-12-08,134.11,56.5
2020-12-09,134.09,54.92
2020-12-10,133.43,53.68
2020-12-11,134.4,52.84
2020-12-14,134.09,53.91
2020-12-15,141.03,55.41
2020-12-16,145.23,54.47
2020-12-17,144.54,54.44
