Date,Open,High,Low,Close,Volume
2020-01-02,107.42,108.92,105.01,107.5,306674
2020-01-03,107.02,107.49,105.03,105.97,204692
2020-01-06,105.42,105.67,103.94,104.62,259370
2020-01-07,104.92,106.49,104.42,104.79,223278
2020-01-08,104.41,105.18,103.47,104.31,161802
2020-01-09,104.42,106.62,103.67,106.19,255491
2020-01-10,105.92,109.47,105.92,109.04,429695
2020-01-13,109.68,115.42,109.67,115.08,496042
2020-01-14,115.52,116.1,113.62,113.98,199073
2020-01-15,113.98,118.23,113.97,116.22,234789
2020-01-16,116.22,117.42,114.72,116.08,145360
2020-01-17,116.68,117.22,113.72,113.97,148478
2020-01-20,115.97,116.08,112.22,112.98,167538
2020-01-21,111.92,111.92,107.43,108.04,293073
2020-01-22,106.41,108.09,105.18,107.12,257531
2020-01-23,107.19,107.19,100.42,101.58,415937
2020-02-03,88.96,88.96,88.96,88.96,167639
2020-02-04,84.42,95.42,84.42,89.92,710214
2020-02-05,91.32,95.22,89.52,92.93,388783
2020-02-06,94.42,95.36,92.02,94.57,306551
2020-02-07,94.67,96.35,93.03,96.0,280117
2020-02-10,94.92,97.75,94.0,96.55,221877
2020-02-11,96.57,100.92,96.57,100.21,245774
2020-02-12,99.92,100.67,98.19,99.91,175114
2020-02-13,100.3,102.08,98.79,99.56,178629
2020-02-14,99.62,101.3,97.87,98.85,169720
2020-02-17,98.6,99.72,98.0,99.72,238169
2020-02-18,99.22,99.72,98.43,98.81,128728
2020-02-19,99.2,102.6,98.1,101.42,316628
2020-02-20,102.42,106.0,102.31,105.57,334662
2020-02-21,105.42,106.62,104.44,105.42,207438
2020-02-24,104.82,104.82,102.12,102.52,235601
2020-02-25,100.22,102.42,99.28,100.72,240633
2020-02-26,99.25,101.84,98.42,99.52,214179
2020-02-27,100.22,103.17,99.92,101.72,235732
2020-02-28,99.42,99.45,94.42,96.02,366012
2020-03-02,95.52,99.02,95.02,98.07,269822
2020-03-03,99.12,101.3,99.12,99.79,230923
2020-03-04,99.42,101.35,99.42,100.69,197575
2020-03-05,101.97,110.3,101.42,108.62,565620
2020-03-06,107.42,110.3,105.42,105.49,291658
2020-03-09,103.42,103.67,101.46,101.72,244542
2020-03-10,101.72,107.05,101.62,106.14,310772
2020-03-11,107.92,108.22,104.92,105.32,187635
2020-03-12,102.3,103.53,101.28,101.46,252660
2020-03-13,95.42,100.64,94.3,98.02,350887
2020-03-16,96.82,97.82,89.83,90.92,370242
2020-03-17,89.92,93.0,84.0,87.78,352980
2020-03-18,88.62,91.39,82.11,83.01,404423
2020-03-19,81.22,82.42,74.05,77.53,601698
2020-03-20,79.74,85.08,79.63,83.93,422064
2020-03-23,79.42,81.92,78.46,79.93,328265
2020-03-24,82.5,85.31,81.46,84.47,356363
2020-03-25,88.52,90.38,87.26,89.42,309473
2020-03-26,88.4,91.72,87.32,89.31,208801
2020-03-27,91.02,93.22,91.02,91.23,235435
2020-03-30,88.24,89.44,87.12,88.65,205806
2020-03-31,90.42,92.01,89.48,90.62,188496
2020-04-01,91.42,92.41,89.86,90.42,175969
2020-04-02,89.42,92.61,88.94,92.61,191537
2020-04-03,93.12,94.89,92.22,92.94,175806
2020-04-07,96.02,100.0,96.02,99.56,294512
2020-04-08,99.56,101.41,98.85,100.7,201134
2020-04-09,102.07,103.02,98.43,100.4,158796
2020-04-10,100.4,104.22,99.62,101.94,198961
2020-04-13,100.57,102.44,99.62,100.42,146060
2020-04-14,102.03,104.3,100.62,103.87,194619
2020-04-15,103.89,105.7,102.63,103.33,162967
2020-04-16,102.43,103.22,100.94,101.52,188254
2020-04-17,102.59,105.12,102.16,104.24,234711
2020-04-20,105.34,105.9,104.3,104.73,132188
2020-04-21,103.5,104.37,100.5,101.89,205524
2020-04-22,101.96,106.41,100.84,105.72,265985
2020-04-23,106.62,109.72,106.22,106.51,213319
2020-04-24,106.66,108.71,104.79,106.82,167733
2020-04-27,107.93,109.04,105.8,108.12,159342
2020-04-28,111.42,116.64,109.93,114.42,420773
2020-04-29,114.42,115.57,109.42,110.92,291832
2020-04-30,110.92,114.62,109.44,111.19,228641
2020-05-06,109.92,114.47,109.4,113.63,251045
