Date,Open,High,Low,Close,Volume
2020-01-02,4.9,5.0,4.89,4.92,1193038
2020-01-03,4.92,4.96,4.9,4.92,705831
2020-01-06,4.9,4.93,4.83,4.85,828713
2020-01-07,4.87,4.9,4.83,4.84,1106436
2020-01-08,4.82,4.82,4.75,4.75,971101
2020-01-09,4.8,4.81,4.74,4.77,848503
2020-01-10,4.78,4.79,4.75,4.77,530992
2020-01-13,4.77,4.78,4.73,4.78,735764
2020-01-14,4.79,4.81,4.77,4.77,546323
2020-01-15,4.78,4.78,4.74,4.75,439992
2020-01-16,4.76,4.76,4.69,4.7,941076
2020-01-17,4.7,4.74,4.68,4.69,553205
2020-01-20,4.7,4.72,4.68,4.71,739731
2020-01-21,4.7,4.7,4.64,4.65,894649
2020-01-22,4.63,4.67,4.6,4.66,870633
2020-01-23,4.63,4.64,4.53,4.58,1255990
2020-02-03,4.03,4.27,3.94,4.05,1936615
2020-02-04,4.04,4.35,4.02,4.29,1654195
2020-02-05,4.29,4.38,4.22,4.32,1036252
2020-02-06,4.35,4.35,4.24,4.3,1439352
2020-02-07,4.26,4.26,4.18,4.24,1082384
2020-02-10,4.21,4.24,4.17,4.23,698717
2020-02-11,4.24,4.3,4.21,4.3,948842
2020-02-12,4.29,4.3,4.25,4.3,631234
2020-02-13,4.3,4.3,4.21,4.23,919536
2020-02-14,4.21,4.28,4.19,4.26,688549
2020-02-17,4.25,4.35,4.23,4.35,909928
2020-02-18,4.34,4.35,4.29,4.31,844002
2020-02-19,4.3,4.35,4.29,4.32,909092
2020-02-20,4.32,4.38,4.25,4.37,1227634
2020-02-21,4.34,4.43,4.31,4.38,925764
2020-02-24,4.38,4.38,4.31,4.32,880498
2020-02-25,4.26,4.29,4.22,4.25,889276
2020-02-26,4.2,4.3,4.16,4.26,838203
2020-02-27,4.26,4.28,4.23,4.28,725983
2020-02-28,4.22,4.25,4.11,4.11,1279464
2020-03-02,4.12,4.22,4.12,4.2,804392
2020-03-03,4.24,4.28,4.2,4.21,901535
2020-03-04,4.21,4.24,4.18,4.21,879905
2020-03-05,4.23,4.33,4.19,4.32,1666223
2020-03-06,4.27,4.31,4.23,4.24,835120
2020-03-09,4.18,4.18,4.08,4.09,1639688
2020-03-10,4.06,4.16,4.06,4.14,1227945
2020-03-11,4.15,4.2,4.12,4.13,777638
2020-03-12,4.1,4.16,4.06,4.15,1020851
2020-03-13,3.98,4.14,3.95,4.1,1153689
2020-03-16,4.1,4.15,3.99,4.03,1386621
2020-03-17,4.0,4.08,3.92,4.06,1212003
2020-03-18,4.05,4.1,3.99,4.0,882964
2020-03-19,3.96,4.0,3.77,3.82,1563421
2020-03-20,3.87,4.0,3.8,3.93,1204484
2020-03-23,3.8,3.84,3.74,3.78,952815
2020-03-24,3.84,3.99,3.84,3.98,1048876
2020-03-25,4.04,4.06,3.97,3.99,1129855
2020-03-26,3.93,4.06,3.93,4.01,1015230
2020-03-27,4.04,4.11,4.04,4.08,759302
2020-03-30,4.03,4.1,4.01,4.08,768983
2020-03-31,4.1,4.12,3.93,3.95,989833
2020-04-01,3.94,4.01,3.93,3.99,432432
2020-04-02,3.96,4.04,3.95,4.04,366280
2020-04-03,4.01,4.05,3.98,4.01,407487
2020-04-07,4.08,4.09,4.0,4.03,925805
2020-04-08,4.01,4.02,3.96,3.98,527125
2020-04-09,4.0,4.01,3.97,4.01,358558
2020-04-10,4.01,4.01,3.96,3.98,433716
2020-04-13,3.95,3.97,3.92,3.93,391994
2020-04-14,3.92,3.97,3.92,3.97,452827
2020-04-15,3.95,3.98,3.94,3.95,342076
2020-04-16,3.94,3.97,3.93,3.95,348280
2020-04-17,3.97,3.98,3.93,3.96,837998
2020-04-20,3.95,3.96,3.92,3.92,490513
2020-04-21,3.93,3.93,3.84,3.86,483937
2020-04-22,3.84,3.87,3.81,3.87,381644
2020-04-23,3.87,3.87,3.81,3.82,482795
2020-04-24,3.83,3.83,3.79,3.81,307280
2020-04-27,3.81,3.91,3.81,3.87,685709
2020-04-28,3.87,3.91,3.81,3.88,647167
2020-04-29,3.89,4.03,3.89,4.03,1031207
2020-04-30,4.03,4.08,4.02,4.04,510898
2020-05-06,3.97,3.98,3.92,3.95,685852
2020-05-07,3.93,3.95,3.91,3.92,534243
2020-05-08,3.94,3.97,3.93,3.96,615141
2020-05-11,3.97,4.01,3.96,4.0,580235
2020-05-12,4.0,4.04,3.94,3.96,486629
2020-05-13,3.95,4.0,3.93,3.99,356542
2020-05-14,3.98,3.98,3.93,3.93,329527
2020-05-15,3.96,3.96,3.92,3.92,370461
2020-05-18,3.94,3.96,3.9,3.93,468427
2020-05-19,3.97,4.02,3.95,4.0,905669
2020-05-20,4.01,4.05,3.98,4.02,561380
2020-05-21,4.01,4.07,4.01,4.04,582498
2020-05-22,4.04,4.07,3.92,3.93,910668
2020-05-25,3.93,3.97,3.91,3.94,441702
2020-05-26,3.96,3.98,3.94,3.95,412207
2020-05-27,3.96,4.02,3.95,3.98,456330
2020-05-28,4.01,4.11,4.0,4.03,765035
2020-05-29,4.02,4.04,3.97,3.98,475965
2020-06-01,4.01,4.05,3.99,4.01,542272
2020-06-02,4.0,4.03,3.99,4.02,871349
2020-06-03,4.04,4.08,4.02,4.04,761675
2020-06-04,4.06,4.06,4.01,4.01,428134
2020-06-05,4.02,4.05,4.0,4.04,465149
2020-06-08,4.03,4.05,4.0,4.01,916960
2020-06-09,4.01,4.04,3.99,4.04,727648
2020-06-10,4.04,4.04,4.0,4.01,537316
2020-06-11,4.01,4.03,3.95,3.96,898946
2020-06-12,3.92,3.99,3.91,3.99,895596
2020-06-15,3.94,3.95,3.87,3.88,937620
2020-06-16,3.92,3.95,3.89,3.92,517173
2020-06-17,3.91,3.96,3.9,3.92,418317
2020-06-18,3.89,3.91,3.86,3.89,857071
2020-06-19,3.89,3.91,3.86,3.89,718036
2020-06-22,3.89,3.95,3.88,3.91,777327
2020-06-23,3.9,3.92,3.87,3.88,548727
2020-06-24,3.88,3.94,3.88,3.93,680153
2020-06-29,3.99,4.01,3.86,3.89,1131831
2020-06-30,3.91,3.94,3.89,3.92,726096
2020-07-01,3.92,3.98,3.89,3.97,961277
2020-07-02,3.97,4.15,3.96,4.09,2159931
2020-07-03,4.1,4.3,4.1,4.29,2028626
2020-07-06,4.35,4.89,4.35,4.86,3831752
2020-07-07,4.91,5.17,4.67,4.86,3221484
2020-07-08,4.79,4.9,4.69,4.84,2052587
2020-07-09,4.79,4.83,4.69,4.78,1678540
2020-07-10,4.78,4.79,4.45,4.48,2312000
2020-07-13,4.44,4.48,4.4,4.43,2591244
2020-07-14,4.41,4.44,4.3,4.35,1700162
2020-07-15,4.36,4.39,4.23,4.24,1371337
2020-07-16,4.27,4.32,4.21,4.23,1589368
2020-07-17,4.27,4.28,4.19,4.22,1029948
2020-07-20,4.24,4.35,4.22,4.33,1293219
2020-07-21,4.35,4.37,4.26,4.3,927177
2020-07-22,4.29,4.36,4.26,4.27,1042185
2020-07-23,4.24,4.27,4.18,4.2,1347029
2020-07-24,4.19,4.19,4.01,4.05,1884913
2020-07-27,4.07,4.07,3.97,3.99,1379497
2020-07-28,4.02,4.04,3.97,4.01,1001372
2020-07-29,4.0,4.07,3.98,4.07,905185
2020-07-30,4.07,4.09,4.03,4.05,740575
2020-07-31,4.04,4.11,4.02,4.05,852677
2020-08-03,4.05,4.09,4.04,4.08,1039074
2020-08-04,4.09,4.2,4.06,4.18,1617802
2020-08-05,4.15,4.17,4.1,4.14,842266
2020-08-06,4.14,4.18,4.08,4.12,744818
2020-08-07,4.12,4.15,4.08,4.11,651436
2020-08-10,4.1,4.17,4.07,4.14,744668
2020-08-11,4.14,4.2,4.12,4.13,914684
2020-08-12,4.09,4.15,4.09,4.14,823678
2020-08-13,4.14,4.17,4.12,4.13,437976
2020-08-14,4.14,4.17,4.11,4.16,663806
2020-08-17,4.16,4.35,4.16,4.3,2181706
2020-08-18,4.3,4.3,4.23,4.25,987546
2020-08-19,4.26,4.26,4.2,4.2,651401
2020-08-20,4.21,4.21,4.12,4.13,840197
2020-08-21,4.16,4.17,4.13,4.15,446700
2020-08-24,4.16,4.19,4.14,4.15,489656
2020-08-25,4.16,4.18,4.13,4.14,426094
2020-08-26,4.14,4.15,4.08,4.09,579029
2020-08-27,4.1,4.11,4.06,4.08,599138
2020-08-28,4.08,4.14,4.06,4.14,628304
2020-08-31,4.15,4.19,4.11,4.13,1236511
2020-09-01,4.11,4.14,4.09,4.13,661147
2020-09-02,4.11,4.12,4.07,4.1,745848
2020-09-03,4.09,4.11,4.03,4.06,797267
2020-09-04,4.03,4.07,4.02,4.04,586056
2020-09-07,4.04,4.08,4.02,4.04,561114
2020-09-08,4.07,4.16,4.05,4.15,935537
2020-09-09,4.12,4.18,4.09,4.11,653872
2020-09-10,4.13,4.15,4.05,4.07,662097
2020-09-11,4.08,4.13,4.04,4.08,566624
2020-09-14,4.08,4.09,4.04,4.06,529978
2020-09-15,4.06,4.08,4.04,4.05,344164
2020-09-16,4.05,4.1,4.04,4.06,493987
2020-09-17,4.06,4.09,4.04,4.08,524185
2020-09-18,4.07,4.18,4.05,4.17,1081662
2020-09-21,4.17,4.19,4.11,4.14,560743
2020-09-22,4.11,4.17,4.1,4.12,535037
2020-09-23,4.12,4.13,4.1,4.1,399036
2020-09-24,4.1,4.1,4.04,4.06,490899
2020-09-25,4.05,4.1,4.05,4.07,471553
2020-09-28,4.07,4.14,4.04,4.12,730869
2020-09-29,4.12,4.13,4.07,4.07,436193
2020-09-30,4.07,4.13,4.05,4.08,583989
2020-10-09,4.13,4.13,4.06,4.07,684612
2020-10-12,4.06,4.17,4.06,4.16,1216081
2020-10-13,4.13,4.16,4.08,4.1,1030460
2020-10-14,4.1,4.11,4.07,4.1,624998
2020-10-15,4.1,4.17,4.08,4.16,1190919
2020-10-16,4.16,4.37,4.14,4.33,3167931
2020-10-19,4.36,4.57,4.35,4.45,2490650
2020-10-20,4.44,4.44,4.24,4.28,1715249
2020-10-21,4.28,4.4,4.24,4.36,1078576
2020-10-22,4.37,4.44,4.33,4.4,984893
2020-10-23,4.37,4.48,4.35,4.4,1097301
2020-10-26,4.41,4.44,4.32,4.37,888519
2020-10-27,4.35,4.37,4.3,4.32,776861
2020-10-28,4.31,4.32,4.19,4.22,786916
2020-10-29,4.18,4.26,4.16,4.22,725254
2020-10-30,4.2,4.32,4.18,4.22,835925
2020-11-02,4.19,4.24,4.14,4.17,913138
2020-11-03,4.2,4.31,4.18,4.2,812079
2020-11-04,4.26,4.31,4.22,4.28,724488
2020-11-05,4.35,4.35,4.25,4.29,882807
2020-11-06,4.29,4.34,4.23,4.32,924253
2020-11-09,4.35,4.36,4.29,4.33,950504
2020-11-10,4.37,4.5,4.36,4.38,1309527
2020-11-11,4.38,4.56,4.36,4.51,1710228
2020-11-12,4.51,4.53,4.43,4.46,660538
2020-11-13,4.43,4.45,4.31,4.33,790075
