Date,Open,High,Low,Close,Volume
2020-01-02,4.04,4.15,4.03,4.09,2349494
2020-01-03,4.09,4.14,4.08,4.11,1522130
2020-01-06,4.08,4.17,4.07,4.09,2265097
2020-01-07,4.1,4.16,4.1,4.13,1168044
2020-01-08,4.08,4.09,4.02,4.03,1585591
2020-01-09,4.07,4.08,4.0,4.03,1377134
2020-01-10,4.03,4.05,3.98,4.03,978378
2020-01-13,4.02,4.05,3.99,4.05,1089910
2020-01-14,4.04,4.08,4.03,4.06,1367701
2020-01-15,4.05,4.06,3.99,4.0,1288908
2020-01-16,3.99,4.01,3.91,3.92,2690313
2020-01-17,3.93,3.96,3.92,3.94,1039490
2020-01-20,3.93,3.98,3.92,3.96,1033400
2020-01-21,3.94,3.95,3.88,3.89,1432237
2020-01-22,3.88,3.91,3.83,3.91,1283708
2020-01-23,3.88,3.9,3.82,3.84,2000377
2020-02-03,3.42,3.7,3.42,3.54,4680399
2020-02-04,3.51,3.65,3.48,3.62,4013853
2020-02-05,3.61,3.64,3.54,3.61,2508538
2020-02-06,3.62,3.65,3.56,3.62,2809954
2020-02-07,3.59,3.59,3.52,3.56,2373190
2020-02-10,3.53,3.55,3.5,3.54,1902386
2020-02-11,3.55,3.59,3.53,3.58,1984985
2020-02-12,3.58,3.59,3.54,3.58,2039144
2020-02-13,3.57,3.57,3.52,3.53,1995658
2020-02-14,3.52,3.56,3.51,3.55,1415764
2020-02-17,3.54,3.61,3.53,3.61,2141949
2020-02-18,3.59,3.6,3.56,3.58,1845424
2020-02-19,3.57,3.62,3.57,3.6,2040524
2020-02-20,3.6,3.64,3.56,3.63,2836681
2020-02-21,3.61,3.64,3.59,3.61,2237103
2020-02-24,3.6,3.61,3.55,3.56,1933292
2020-02-25,3.52,3.54,3.51,3.53,2301333
2020-02-26,3.5,3.56,3.48,3.53,2579688
2020-02-27,3.52,3.54,3.51,3.52,2225556
2020-02-28,3.49,3.5,3.4,3.42,4229372
2020-03-02,3.42,3.48,3.41,3.48,2399023
2020-03-03,3.49,3.52,3.47,3.5,2554032
2020-03-04,3.49,3.51,3.48,3.51,1342816
2020-03-05,3.52,3.58,3.5,3.58,3305398
2020-03-06,3.54,3.55,3.51,3.53,1959499
2020-03-09,3.46,3.47,3.42,3.43,2880620
2020-03-10,3.41,3.49,3.41,3.48,2508208
2020-03-11,3.47,3.49,3.44,3.44,1694070
2020-03-12,3.42,3.44,3.39,3.41,2462965
2020-03-13,3.28,3.39,3.25,3.34,2997241
2020-03-16,3.34,3.41,3.26,3.29,3044663
2020-03-17,3.28,3.35,3.24,3.29,2577129
2020-03-18,3.3,3.32,3.23,3.23,2025068
2020-03-19,3.23,3.24,3.05,3.11,2898850
2020-03-20,3.14,3.23,3.12,3.2,2125136
2020-03-23,3.12,3.15,3.1,3.11,1399893
2020-03-24,3.14,3.24,3.14,3.24,2303316
2020-03-25,3.29,3.3,3.22,3.3,2321786
2020-03-26,3.25,3.34,3.23,3.3,1556128
2020-03-27,3.33,3.37,3.3,3.33,1727365
2020-03-30,3.3,3.36,3.27,3.34,1953885
2020-03-31,3.34,3.36,3.24,3.27,1761032
2020-04-01,3.27,3.31,3.25,3.28,1018584
2020-04-02,3.26,3.31,3.23,3.31,1228856
2020-04-03,3.28,3.3,3.24,3.26,1096046
2020-04-07,3.3,3.31,3.25,3.28,1703016
2020-04-08,3.26,3.27,3.24,3.26,1034743
2020-04-09,3.26,3.27,3.24,3.25,735821
2020-04-10,3.25,3.26,3.22,3.23,978069
2020-04-13,3.22,3.25,3.21,3.22,855087
2020-04-14,3.23,3.25,3.22,3.24,883218
2020-04-15,3.23,3.25,3.22,3.25,946035
2020-04-16,3.23,3.25,3.22,3.24,700632
2020-04-17,3.25,3.29,3.23,3.27,1382449
2020-04-20,3.26,3.27,3.24,3.24,1038087
2020-04-21,3.23,3.24,3.19,3.2,1176049
2020-04-22,3.19,3.22,3.17,3.21,876584
2020-04-23,3.21,3.21,3.17,3.19,1033422
2020-04-24,3.18,3.19,3.16,3.17,687952
2020-04-27,3.17,3.23,3.17,3.21,1172997
2020-04-28,3.21,3.24,3.16,3.23,1505136
2020-04-29,3.22,3.27,3.2,3.27,1210796
2020-04-30,3.27,3.3,3.26,3.29,1040639
2020-05-06,3.24,3.24,3.2,3.23,1620612
2020-05-07,3.22,3.23,3.21,3.22,788982
2020-05-08,3.22,3.24,3.21,3.22,1148278
2020-05-11,3.23,3.26,3.22,3.26,1130519
2020-05-12,3.25,3.27,3.23,3.25,1016321
2020-05-13,3.24,3.25,3.23,3.25,556280
2020-05-14,3.24,3.25,3.21,3.22,811525
2020-05-15,3.22,3.24,3.2,3.21,959061
2020-05-18,3.21,3.22,3.19,3.22,936179
2020-05-19,3.24,3.25,3.22,3.24,1361801
2020-05-20,3.23,3.24,3.22,3.24,867649
2020-05-21,3.24,3.25,3.22,3.22,810031
2020-05-22,3.22,3.23,3.17,3.17,1433771
2020-05-25,3.18,3.22,3.16,3.21,1055065
2020-05-26,3.22,3.23,3.2,3.2,925221
2020-05-27,3.2,3.25,3.2,3.24,1195940
2020-05-28,3.24,3.3,3.24,3.29,1457287
2020-05-29,3.26,3.27,3.22,3.24,1257614
2020-06-01,3.25,3.28,3.24,3.28,1050079
2020-06-02,3.27,3.31,3.25,3.31,1528292
2020-06-03,3.32,3.36,3.3,3.31,1345468
2020-06-04,3.32,3.33,3.29,3.3,763941
2020-06-05,3.31,3.34,3.28,3.33,1098658
