Date,Close_1,Vol_1,Close_2,Vol_2,price_spread,price_ratio,volume_ratio
2020-01-02,898.77,148099,107.5,306674,791.27,8.360651162790697,0.482919973652804
2020-01-03,847.33,130319,105.97,204692,741.36,7.995942247805983,0.636658980321654
2020-01-06,846.76,63415,104.62,259370,742.14,8.093672337985089,0.24449627944635077
2020-01-07,863.3,47854,104.79,223278,758.51,8.23838152495467,0.2143247431453166
2020-01-08,856.91,25008,104.31,161802,752.5999999999999,8.215032115808647,0.15455927615233434
2020-01-09,871.47,37406,106.19,255491,765.28,8.206704962802524,0.14640828835458
2020-01-10,881.27,35976,109.04,429695,772.23,8.082079970652972,0.08372450226323322
2020-01-13,893.04,38516,115.08,496042,777.9599999999999,7.760166840458811,0.07764665088843284
2020-01-14,876.17,35145,113.98,199073,762.1899999999999,7.68705035971223,0.17654327809396553
2020-01-15,880.9,26029,116.22,234789,764.68,7.579590431939425,0.11086124136991085
2020-01-16,875.77,23192,116.08,145360,759.6899999999999,7.544538249483115,0.15954870665932858
2020-01-17,876.27,23473,113.97,148478,762.3,7.688602263753619,0.15809076092080981
2020-01-20,859.77,35391,112.98,167538,746.79,7.6099309612320765,0.21124162876481753
2020-01-21,844.07,32874,108.04,293073,736.0300000000001,7.812569418733802,0.11217000542526948
2020-01-22,844.28,36200,107.12,257531,737.16,7.881628080657206,0.1405656018110441
2020-01-23,821.57,53468,101.58,415937,719.99,8.087911006103564,0.12854831380713908
2020-02-03,772.69,123443,88.96,167639,683.73,8.685813848920864,0.736362063720256
2020-02-04,806.78,62624,89.92,710214,716.86,8.972197508896796,0.08817623983757009
2020-02-05,818.76,47418,92.93,388783,725.8299999999999,8.810502528785106,0.12196520938415517
2020-02-06,839.77,47171,94.57,306551,745.2,8.87987733953685,0.15387651646871156
2020-02-07,844.77,31279,96.0,280117,748.77,8.7996875,0.11166405466287302
2020-02-10,835.26,30533,96.55,221877,738.71,8.651061626100466,0.13761228067803333
2020-02-11,866.77,47918,100.21,245774,766.56,8.649535974453647,0.19496773458543215
2020-02-12,866.04,28125,99.91,175114,766.13,8.668201381243119,0.1606096599929189
2020-02-13,859.77,30357,99.56,178629,760.21,8.635697067095219,0.16994440992224108
2020-02-14,856.77,23288,98.85,169720,757.92,8.667374810318664,0.13721423521093565
2020-02-17,862.59,27028,99.72,238169,762.87,8.650120336943441,0.1134824431391155
2020-02-18,852.77,26665,98.81,128728,753.96,8.630401781196236,0.20714219128705488
2020-02-19,865.27,37051,101.42,316628,763.85,8.531551962137645,0.11701744634081636
2020-02-20,886.77,46803,105.57,334662,781.2,8.399829497016198,0.13985155171486455
2020-02-21,881.65,28940,105.42,207438,776.23,8.363213811420982,0.1395115649013199
2020-02-24,855.95,38650,102.52,235601,753.4300000000001,8.349102614124075,0.16404853969210656
2020-02-25,843.58,38386,100.72,240633,742.86,8.37549642573471,0.15952093021322927
2020-02-26,842.47,43561,99.52,214179,742.95,8.465333601286174,0.2033859528711965
2020-02-27,856.16,34498,101.72,235732,754.4399999999999,8.4168305151396,0.14634415353028016
2020-02-28,825.77,49947,96.02,366012,729.75,8.59997917100604,0.13646273892659258
2020-03-02,854.78,47663,98.07,269822,756.71,8.716019169980626,0.17664608519690758
2020-03-03,881.77,50250,99.79,230923,781.98,8.836256137889567,0.21760500253331197
2020-03-04,897.69,53793,100.69,197575,797.0,8.915383851425167,0.272266228014678
2020-03-05,939.77,62426,108.62,565620,831.15,8.651905726385564,0.11036738446306708
