step,date,ningde_close,byd_close,price_spread,z_score,action,action_meaning,position_ningde_before,position_byd_before,position_ningde_after,position_byd_after,reward,net_worth
0,2025-01-02,252.020000,89.040000,162.980000,0.641644,0,做多价差,0,0,26,-26,0.000000,10000.000000
1,2025-01-03,250.870000,88.920000,161.950000,0.622529,0,做多价差,26,-26,26,-26,-0.002678,9973.220000
2,2025-01-06,249.990000,89.100000,160.890000,0.602858,1,平仓,26,-26,0,0,-0.002763,9945.660000
3,2025-01-07,242.690000,90.020000,152.670000,0.450310,0,做多价差,0,0,26,-26,-0.000000,9945.660000
4,2025-01-08,238.580000,88.400000,150.180000,0.404101,0,做多价差,26,-26,26,-26,-0.006509,9880.920000
5,2025-01-09,240.570000,88.470000,152.100000,0.439732,0,做多价差,26,-26,26,-26,0.005052,9930.840000
6,2025-01-10,239.240000,87.350000,151.890000,0.435835,0,做多价差,26,-26,26,-26,-0.000550,9925.380000
7,2025-01-13,240.150000,87.340000,152.810000,0.452908,1,平仓,26,-26,0,0,0.002410,9949.300000
8,2025-01-14,249.440000,90.780000,158.660000,0.561473,1,平仓,0,0,0,0,0.000000,9949.300000
9,2025-01-15,244.110000,90.240000,153.870000,0.472580,1,平仓,0,0,0,0,0.000000,9949.300000
10,2025-01-16,243.170000,89.600000,153.570000,0.467012,1,平仓,0,0,0,0,0.000000,9949.300000
11,2025-01-17,244.740000,90.880000,153.860000,0.472394,1,平仓,0,0,0,0,0.000000,9949.300000
12,2025-01-20,258.760000,93.490000,165.270000,0.684142,1,平仓,0,0,0,0,0.000000,9949.300000
13,2025-01-21,257.420000,94.030000,163.390000,0.649253,1,平仓,0,0,0,0,0.000000,9949.300000
14,2025-01-22,251.240000,92.840000,158.400000,0.556648,1,平仓,0,0,0,0,0.000000,9949.300000
15,2025-01-23,250.740000,91.050000,159.690000,0.580588,1,平仓,0,0,0,0,0.000000,9949.300000
16,2025-01-24,255.080000,91.700000,163.380000,0.649067,1,平仓,0,0,0,0,0.000000,9949.300000
17,2025-01-27,251.460000,90.180000,161.280000,0.610095,1,平仓,0,0,0,0,0.000000,9949.300000
18,2025-02-05,246.580000,92.940000,153.640000,0.468312,1,平仓,0,0,0,0,0.000000,9949.300000
19,2025-02-06,247.560000,102.370000,145.190000,0.311496,1,平仓,0,0,0,0,0.000000,9949.300000
20,2025-02-07,255.740000,107.640000,148.100000,0.365500,1,平仓,0,0,0,0,0.000000,9949.300000
21,2025-02-10,252.910000,108.720000,144.190000,0.292938,1,平仓,0,0,0,0,0.000000,9949.300000
22,2025-02-11,246.260000,108.640000,137.620000,0.171011,1,平仓,0,0,0,0,0.000000,9949.300000
23,2025-02-12,249.760000,113.690000,136.070000,0.142246,1,平仓,0,0,0,0,0.000000,9949.300000
24,2025-02-13,255.850000,112.440000,143.410000,0.278462,1,平仓,0,0,0,0,0.000000,9949.300000
25,2025-02-14,264.170000,117.360000,146.810000,0.341560,1,平仓,0,0,0,0,0.000000,9949.300000
26,2025-02-17,263.860000,114.840000,149.020000,0.382573,1,平仓,0,0,0,0,0.000000,9949.300000
27,2025-02-18,265.230000,117.420000,147.810000,0.360118,1,平仓,0,0,0,0,0.000000,9949.300000
28,2025-02-19,268.010000,118.180000,149.830000,0.397605,1,平仓,0,0,0,0,0.000000,9949.300000
29,2025-02-20,264.660000,119.600000,145.060000,0.309083,1,平仓,0,0,0,0,0.000000,9949.300000
30,2025-02-21,270.010000,126.340000,143.670000,0.283287,1,平仓,0,0,0,0,0.000000,9949.300000
31,2025-02-24,265.960000,124.100000,141.860000,0.249697,1,平仓,0,0,0,0,0.000000,9949.300000
32,2025-02-25,263.940000,122.840000,141.100000,0.235593,1,平仓,0,0,0,0,0.000000,9949.300000
33,2025-02-26,263.080000,122.710000,140.370000,0.222046,1,平仓,0,0,0,0,0.000000,9949.300000
34,2025-02-27,264.460000,123.840000,140.620000,0.226685,1,平仓,0,0,0,0,0.000000,9949.300000
35,2025-02-28,258.760000,119.280000,139.480000,0.205529,1,平仓,0,0,0,0,0.000000,9949.300000
36,2025-03-03,267.990000,118.750000,149.240000,0.386656,1,平仓,0,0,0,0,0.000000,9949.300000
